-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 
Location: Latitude  40.5213   Longitude 21.2618 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 956.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT          CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_UVA     CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB     CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
T2M                MERRA-2 Temperature at 2 Meters (C) 
RH2M               MERRA-2 Relative Humidity at 2 Meters (%) 
QV2M               MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS10M              MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_KT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,T2M,RH2M,QV2M,WS10M
2021,4,27,0.65,15.66,0.34,11.19,75.25,6.71,2.24
2021,4,28,0.63,15.51,0.33,12.63,78.06,7.75,1.91
2021,4,29,0.73,17.83,0.38,15.02,72.75,8.3,2.42
2021,4,30,0.72,17.8,0.38,17.62,61.69,8.42,2.55
2021,5,1,0.47,11.57,0.27,17.19,68.5,9.28,2.45
2021,5,2,0.66,16.44,0.4,16.29,72.25,9.28,4.91
2021,5,3,0.62,15.59,0.38,14.14,70.75,7.51,3.0
2021,5,4,0.63,15.8,0.37,13.91,73.38,7.75,1.9
2021,5,5,0.52,13.68,0.32,13.26,77.06,8.0,3.05
2021,5,6,0.74,18.68,0.41,14.8,70.94,7.87,2.55
2021,5,7,0.34,9.49,0.23,15.13,68.0,7.69,2.62
2021,5,8,0.73,18.87,0.43,13.35,72.44,7.51,3.33
2021,5,9,0.62,16.25,0.37,12.44,72.62,7.14,3.05
2021,5,10,0.74,19.23,0.42,14.49,75.25,8.36,1.95
2021,5,11,0.73,19.05,0.42,16.76,75.06,9.58,1.25
2021,5,12,0.51,13.6,0.32,14.55,72.81,8.06,2.89
2021,5,13,0.6,15.77,0.35,12.19,72.31,6.84,4.19
2021,5,14,0.61,16.29,0.34,12.06,74.5,7.02,3.85
2021,5,15,0.27,8.18,0.19,9.69,82.94,6.84,2.91
2021,5,16,0.62,16.3,0.34,12.18,76.94,7.32,4.28
2021,5,17,0.56,15.44,0.36,14.58,71.0,7.87,4.37
2021,5,18,0.71,18.67,0.43,13.31,68.75,7.02,4.33
2021,5,19,0.75,19.87,0.45,13.8,56.12,5.8,3.34
2021,5,20,0.55,15.3,0.35,10.75,74.12,6.41,5.34
2021,5,21,0.62,16.14,0.33,11.32,68.44,6.1,4.02
2021,5,22,0.74,19.64,0.45,14.4,62.62,6.84,2.5
2021,5,23,0.74,20.02,0.49,17.61,55.56,7.51,2.32
2021,5,24,0.71,19.31,0.47,20.46,60.12,9.58,2.23
2021,5,25,0.69,18.63,0.45,20.78,58.25,9.4,2.4
2021,5,26,0.66,17.62,0.4,19.39,59.62,8.91,1.52
2021,5,27,0.61,16.63,0.37,18.81,67.44,9.77,1.17
2021,5,28,0.73,19.33,0.44,15.98,63.25,7.39,3.88
2021,5,29,0.73,19.82,0.41,16.13,63.25,7.57,1.63
2021,5,30,0.36,10.32,0.23,14.61,71.94,8.12,2.04
2021,5,31,0.42,12.07,0.27,11.93,72.25,6.77,3.31
2021,6,1,0.54,14.71,0.28,11.2,65.19,5.8,3.65
2021,6,2,0.68,18.19,0.37,13.41,61.69,6.16,2.48
2021,6,3,0.72,19.13,0.39,15.85,55.19,6.47,2.78
2021,6,4,0.73,19.52,0.4,16.39,54.69,6.59,2.48
2021,6,5,0.69,18.57,0.42,17.55,56.31,7.39,2.34
2021,6,6,0.67,18.3,0.41,18.56,58.56,8.18,2.97
2021,6,7,0.48,13.7,0.34,18.07,69.81,9.77,2.48
2021,6,8,0.39,11.76,0.29,16.62,75.12,9.58,1.59
2021,6,9,0.53,15.52,0.38,16.87,71.06,9.22,1.77
2021,6,10,0.49,14.35,0.34,16.95,68.0,8.85,2.09
2021,6,11,0.48,13.7,0.31,15.94,71.56,8.79,1.62
2021,6,12,0.53,14.95,0.32,15.22,70.0,8.18,2.02
2021,6,13,0.56,15.84,0.35,16.66,68.25,8.54,2.8
2021,6,14,0.62,17.12,0.37,13.54,62.81,6.41,3.7
2021,6,15,0.65,17.57,0.34,13.37,65.25,6.47,3.21
2021,6,16,0.65,18.16,0.38,17.22,64.25,8.42,3.01
2021,6,17,0.48,13.75,0.3,17.91,69.25,9.64,1.11
2021,6,18,0.6,16.77,0.38,19.27,64.62,9.58,2.87
2021,6,19,0.55,15.84,0.38,20.19,63.94,10.01,3.11
2021,6,20,0.66,18.38,0.42,21.79,59.31,10.25,2.95
2021,6,21,0.61,16.97,0.4,23.24,61.38,11.78,2.64
2021,6,22,0.62,17.31,0.41,24.38,55.88,11.05,3.73
2021,6,23,0.72,20.23,0.49,26.57,43.81,9.7,2.45
2021,6,24,0.66,18.57,0.45,26.82,45.0,10.13,3.27
2021,6,25,0.62,17.56,0.45,24.44,51.62,10.38,3.06
2021,6,26,0.69,19.52,0.48,25.78,45.69,9.64,3.02
2021,6,27,0.74,20.66,0.52,24.5,45.12,8.73,2.37
2021,6,28,0.72,20.15,0.48,25.84,43.25,9.22,1.33
2021,6,29,0.73,20.55,0.49,27.07,37.5,8.54,1.83
2021,6,30,0.66,18.52,0.47,26.82,37.62,8.3,2.75
2021,7,1,0.73,20.65,0.5,25.23,41.44,8.36,4.2
2021,7,2,0.69,19.0,0.46,21.83,47.12,7.93,3.95
2021,7,3,0.59,16.55,0.38,20.38,50.75,8.0,3.26
2021,7,4,0.7,19.27,0.46,22.07,44.19,7.57,2.79
2021,7,5,0.53,15.3,0.38,22.53,48.44,8.67,2.31
2021,7,6,0.65,17.9,0.44,23.58,50.38,9.64,2.72
2021,7,7,0.72,19.73,0.46,25.5,42.31,8.85,2.25
2021,7,8,0.7,19.02,0.45,26.83,38.88,8.91,2.29
2021,7,9,0.67,18.43,0.48,26.4,47.69,10.44,2.1
2021,7,10,0.52,14.71,0.38,24.09,59.56,11.66,1.66
2021,7,11,0.59,16.18,0.41,22.31,65.25,11.6,1.18
2021,7,12,0.62,16.97,0.41,24.66,52.62,10.44,0.77
2021,7,13,0.7,18.96,0.48,27.12,41.56,9.64,1.24
2021,7,14,0.68,18.6,0.47,28.12,38.94,9.4,0.91
2021,7,15,0.7,19.01,0.51,27.5,41.0,9.58,2.52
2021,7,16,0.64,17.55,0.46,26.3,40.69,8.97,2.62
2021,7,17,0.57,15.62,0.39,24.67,45.38,9.16,1.82
2021,7,18,0.38,11.06,0.28,21.15,70.06,12.02,2.12
2021,7,19,0.42,11.96,0.29,20.19,74.88,12.02,1.8
2021,7,20,0.62,17.12,0.41,22.4,61.19,10.86,1.96
2021,7,21,0.67,17.92,0.45,21.92,54.94,9.34,3.12
2021,7,22,0.72,18.52,0.46,20.51,53.06,8.18,2.99
2021,7,23,0.62,16.3,0.41,21.64,51.75,8.85,1.55
2021,7,24,0.61,15.66,0.38,21.83,46.75,8.06,2.1
2021,7,25,0.71,18.18,0.41,23.72,38.94,7.26,2.05
2021,7,26,0.68,17.7,0.41,25.53,41.44,8.73,1.48
2021,7,27,0.7,18.1,0.45,27.76,40.0,9.22,1.43
2021,7,28,0.64,16.73,0.43,28.75,36.44,9.09,1.19
2021,7,29,0.69,17.88,0.44,29.15,30.81,7.57,2.52
2021,7,30,0.73,18.77,0.47,28.59,28.19,6.71,3.12
2021,7,31,0.74,19.06,0.47,28.22,28.94,6.71,2.67
2021,8,1,0.72,18.59,0.46,29.09,29.5,7.26,2.41
2021,8,2,0.7,17.88,0.46,29.37,28.25,7.32,4.14
2021,8,3,0.72,18.19,0.47,28.62,29.31,7.02,3.69
2021,8,4,0.69,17.52,0.44,28.8,27.88,7.08,3.34
2021,8,5,0.62,15.76,0.38,28.29,28.31,6.77,4.98
2021,8,6,0.66,16.88,0.41,23.83,44.88,8.54,4.28
2021,8,7,0.75,18.79,0.45,24.12,33.38,6.23,2.54
2021,8,8,0.75,18.59,0.45,27.23,24.81,5.62,1.21
2021,8,9,0.72,17.97,0.44,28.69,30.44,7.63,2.61
2021,8,10,0.71,17.53,0.45,29.04,30.69,7.69,3.71
2021,8,11,0.48,11.89,0.28,27.59,32.0,7.75,2.8
2021,8,12,0.66,15.89,0.37,25.63,38.75,8.3,2.45
2021,8,13,0.7,16.72,0.39,25.87,33.38,7.14,2.29
2021,8,14,0.66,15.97,0.38,24.94,39.81,8.3,2.28
2021,8,15,0.69,16.3,0.39,24.91,42.0,8.36,2.02
2021,8,16,0.7,16.68,0.39,26.19,36.81,7.69,1.41
2021,8,17,0.67,15.7,0.38,27.25,32.5,7.32,1.84
2021,8,18,0.66,15.81,0.39,25.33,44.38,9.22,2.02
2021,8,19,0.62,14.82,0.36,22.02,54.5,9.46,2.72
2021,8,20,0.59,14.26,0.36,23.19,59.06,10.8,1.94
2021,8,21,0.48,11.52,0.29,22.03,57.75,9.77,2.06
2021,8,22,0.66,14.74,0.34,22.61,42.81,7.45,2.37
2021,8,23,0.64,13.88,0.33,23.43,42.5,7.93,1.87
2021,8,24,0.61,13.02,0.3,24.3,41.06,7.93,1.26
2021,8,25,0.59,13.2,0.31,23.89,43.25,8.24,2.73
2021,8,26,0.37,8.99,0.23,21.31,59.56,9.95,2.98
2021,8,27,0.65,14.77,0.35,21.55,62.56,10.31,2.77
2021,8,28,0.66,15.05,0.34,22.62,51.19,8.91,1.68
2021,8,29,0.66,14.88,0.33,21.37,53.44,8.61,3.37
2021,8,30,0.77,16.41,0.38,20.15,47.19,6.59,2.52
2021,8,31,0.76,16.2,0.37,20.87,38.12,5.62,1.83
2021,9,1,0.66,14.26,0.33,20.01,41.5,6.1,3.42
2021,9,2,0.76,16.05,0.36,18.12,44.06,5.74,3.3
2021,9,3,0.72,15.41,0.34,19.33,44.75,6.35,1.34
2021,9,4,0.56,12.33,0.3,20.48,47.62,7.08,1.06
2021,9,5,0.35,8.07,0.2,17.87,66.94,9.16,1.79
2021,9,6,0.42,9.09,0.21,16.58,62.62,7.75,2.7
2021,9,7,0.44,9.54,0.2,16.25,52.19,6.23,2.71
2021,9,8,0.23,5.35,0.11,13.01,73.31,7.39,2.23
2021,9,9,0.36,8.02,0.18,13.94,75.94,8.06,1.71
2021,9,10,0.62,12.87,0.26,17.33,59.38,7.63,1.19
2021,9,11,0.59,12.01,0.25,18.83,55.38,7.93,1.3
2021,9,12,0.5,10.41,0.23,17.6,65.75,8.91,1.56
2021,9,13,0.63,12.37,0.26,18.92,49.06,6.96,2.7
2021,9,14,0.72,13.7,0.28,19.8,39.06,5.74,2.28
2021,9,15,0.68,12.71,0.27,20.69,34.12,5.37,1.94
2021,9,16,0.6,11.57,0.24,21.32,42.25,6.9,2.8
2021,9,17,0.48,9.32,0.2,22.45,41.38,7.26,3.38
2021,9,18,0.47,9.48,0.2,19.73,55.62,8.54,4.52
2021,9,19,0.55,10.66,0.22,19.44,66.12,9.89,3.66
2021,9,20,0.62,11.74,0.23,19.72,64.44,9.52,3.81
2021,9,21,0.65,12.21,0.27,19.1,60.25,8.48,2.15
2021,9,22,0.6,11.05,0.23,14.81,57.88,6.35,3.52
2021,9,23,0.7,12.22,0.25,11.09,53.94,4.58,2.96
2021,9,24,0.76,13.09,0.27,14.97,43.44,4.52,2.82
2021,9,25,0.76,12.97,0.26,18.12,38.44,4.46,1.81
2021,9,26,0.74,12.77,0.26,20.85,26.94,4.21,0.67
2021,9,27,0.69,11.8,0.24,21.44,31.62,5.13,1.73
2021,9,28,0.38,6.81,0.15,18.79,63.31,9.03,0.91
2021,9,29,0.26,4.89,0.1,15.94,82.31,10.07,2.47
2021,9,30,0.22,4.17,0.09,12.51,86.81,8.61,3.0
2021,10,1,0.2,3.88,0.08,11.34,84.31,7.69,1.98
2021,10,2,0.59,9.73,0.19,11.95,69.88,6.29,1.63
2021,10,3,0.7,10.96,0.2,12.83,64.38,6.1,1.55
2021,10,4,0.75,11.46,0.2,14.03,63.56,6.41,1.54
2021,10,5,0.75,11.45,0.2,15.16,61.75,6.59,1.77
2021,10,6,0.48,8.01,0.14,13.68,74.69,7.69,3.27
2021,10,7,0.12,2.53,0.05,10.81,90.62,8.12,6.96
2021,10,8,0.16,3.05,0.05,10.75,93.69,8.36,4.68
2021,10,9,0.16,3.15,0.06,9.9,91.81,7.69,3.02
2021,10,10,0.2,3.66,0.07,10.83,94.12,8.42,3.23
2021,10,11,0.42,6.83,0.12,12.71,79.69,7.93,2.85
2021,10,12,0.34,5.67,0.11,8.21,85.44,6.41,3.01
2021,10,13,0.48,7.27,0.12,7.49,85.56,6.1,2.02
2021,10,14,0.15,2.68,0.05,2.34,92.75,4.64,4.66
2021,10,15,0.21,3.59,0.05,5.24,95.44,5.98,3.77
2021,10,16,0.37,5.75,0.09,7.3,89.5,6.29,2.76
2021,10,17,0.38,5.62,0.09,8.75,88.06,6.84,1.74
2021,10,18,0.42,6.14,0.09,9.98,89.69,7.51,1.22
2021,10,19,0.6,7.91,0.12,10.18,76.19,6.29,1.53
2021,10,20,0.63,8.3,0.13,10.26,77.19,6.41,1.02
2021,10,21,0.71,9.21,0.16,9.51,85.31,6.96,2.71
2021,10,22,0.64,8.45,0.14,10.86,83.81,7.57,2.48
2021,10,23,0.55,7.5,0.12,12.01,87.31,8.48,1.96
2021,10,24,0.36,5.21,0.09,7.51,84.06,5.92,3.21
2021,10,25,0.34,4.53,0.08,5.76,82.38,5.07,4.38
2021,10,26,0.68,8.18,0.12,4.69,83.38,4.82,2.77
2021,10,27,0.74,8.59,0.12,5.94,81.88,5.13,1.56
2021,10,28,0.73,8.31,0.12,6.05,82.06,5.13,2.22
2021,10,29,0.73,8.23,0.12,5.94,81.31,5.13,2.55
2021,10,30,0.7,7.84,0.11,6.15,84.12,5.37,2.2
2021,10,31,0.6,6.82,0.09,7.52,84.62,5.92,1.59
2021,11,1,0.69,7.53,0.1,7.62,82.88,5.8,1.8
2021,11,2,0.27,3.59,0.06,10.05,93.12,8.06,2.91
2021,11,3,0.66,7.37,0.12,10.42,88.56,7.63,2.55
2021,11,4,0.65,7.27,0.12,11.27,84.88,7.75,3.24
2021,11,5,0.52,5.88,0.1,11.98,80.12,7.51,3.15
2021,11,6,0.52,6.01,0.1,14.39,67.06,7.39,1.46
2021,11,7,0.49,5.7,0.09,12.65,88.31,8.79,1.86
2021,11,8,0.63,6.68,0.1,13.13,77.31,7.93,1.24
2021,11,9,0.62,6.67,0.09,11.08,82.12,7.39,2.07
2021,11,10,0.24,2.94,0.05,6.04,86.44,5.43,3.65
2021,11,11,0.6,6.21,0.09,3.91,78.56,4.27,2.28
2021,11,12,0.61,6.16,0.09,5.58,76.31,4.76,1.2
2021,11,13,0.67,6.55,0.09,6.56,86.88,5.74,1.39
2021,11,14,0.53,5.41,0.08,6.94,95.19,6.65,1.83
2021,11,15,0.2,2.43,0.04,7.06,94.88,6.53,3.05
2021,11,16,0.19,2.29,0.03,5.94,87.94,5.55,4.02
2021,11,17,0.3,3.35,0.05,5.46,92.75,5.74,2.16
2021,11,18,0.43,4.45,0.06,7.19,91.12,6.29,1.45
2021,11,19,0.36,3.74,0.05,4.37,80.19,4.52,2.6
2021,11,20,0.68,6.12,0.07,5.41,84.06,5.19,2.82
2021,11,21,0.72,6.18,0.07,6.65,84.44,5.68,1.55
2021,11,22,0.34,3.52,0.05,6.58,96.94,6.65,2.03
2021,11,23,0.2,2.27,0.03,6.31,94.5,6.23,1.94
2021,11,24,0.18,1.94,0.02,3.75,93.25,5.13,2.83
2021,11,25,0.2,2.19,0.03,3.4,94.44,5.13,2.87
2021,11,26,0.17,1.91,0.02,4.54,96.75,5.74,4.58
2021,11,27,0.41,4.05,0.05,6.53,92.88,6.29,3.68
2021,11,28,0.38,3.6,0.05,6.83,91.88,6.35,4.0
2021,11,29,0.34,3.18,0.04,5.58,90.44,5.74,5.26
2021,11,30,0.31,2.78,0.02,-0.14,89.88,3.78,3.63
2021,12,1,0.69,5.44,0.05,0.02,87.94,3.6,4.2
2021,12,2,0.55,4.59,0.05,3.19,94.81,5.13,3.08
2021,12,3,0.32,3.02,0.04,5.94,94.5,6.1,3.56
2021,12,4,0.54,4.48,0.04,5.57,86.0,5.37,1.45
2021,12,5,0.66,5.12,0.05,4.63,91.0,5.37,2.68
2021,12,6,0.13,1.4,0.02,6.02,96.75,6.35,3.86
2021,12,7,0.29,2.7,0.02,2.1,89.12,4.46,3.59
2021,12,8,0.72,5.22,0.05,0.46,82.5,3.54,3.15
2021,12,9,0.3,2.63,0.03,3.88,96.62,5.55,3.85
2021,12,10,0.3,2.62,0.02,3.04,93.94,4.94,3.23
2021,12,11,0.1,1.02,0.01,3.36,97.56,5.31,4.59
2021,12,12,0.38,3.23,0.03,1.84,92.38,4.52,1.76
2021,12,13,0.3,2.56,0.02,-2.45,89.81,3.05,3.91
2021,12,14,0.34,2.77,0.02,-2.01,92.75,3.3,4.7
2021,12,15,0.55,4.09,0.04,-2.2,91.06,3.17,3.12
2021,12,16,0.61,4.42,0.04,-1.99,90.88,3.17,2.49
2021,12,17,0.56,4.18,0.04,-0.97,92.06,3.6,3.54
2021,12,18,0.44,3.33,0.03,-2.44,88.88,3.05,5.8
2021,12,19,0.67,4.84,0.04,-3.14,88.56,2.81,3.31
2021,12,20,0.7,5.04,0.05,-0.13,91.81,3.85,2.98
2021,12,21,0.73,5.0,0.05,-2.43,78.62,2.69,1.77
2021,12,22,0.62,4.55,0.04,-2.67,73.5,2.44,1.02
2021,12,23,0.72,5.03,0.05,-2.12,77.0,2.69,1.19
2021,12,24,0.59,4.43,0.04,-0.13,95.31,4.03,3.8
2021,12,25,0.62,4.68,0.05,2.0,96.44,4.76,3.19
2021,12,26,0.3,2.64,0.03,3.93,98.31,5.74,3.49
2021,12,27,0.22,2.05,0.02,3.97,98.25,5.68,2.87
2021,12,28,0.35,3.17,0.04,4.72,98.31,5.86,1.28
2021,12,29,0.29,2.71,0.03,3.96,96.81,5.55,2.2
2021,12,30,0.53,4.05,0.03,1.48,92.25,4.33,4.87
2021,12,31,0.67,4.98,0.05,2.3,91.5,4.52,3.02
